condition,seed,scenario,n_episodes,sim_steps,wall_s,reward,reward_std,ep_length,ep_length_std,vx_abs_err,vx_abs_err_std,vy_abs_err,vy_abs_err_std,mean_height,mean_height_std,below_thresh_frac,below_thresh_frac_std,energy_per_step,energy_per_step_std,torque_peak,torque_peak_std,torque_peak_std_acrossdofs,torque_peak_std_acrossdofs_std,energy_std_acrossdofs,energy_std_acrossdofs_std,mean_jerk,mean_jerk_std,fatigue_max_acrossdofs,fatigue_max_acrossdofs_std,fatigue_std_acrossdofs,fatigue_std_acrossdofs_std,early_terminated,early_terminated_std,survived,survived_std,error
reference,1,nominal,64,3578,47.2,280.54820919036865,12.958734663024275,3578.0,0.0,0.037736574216978624,0.023999259697382345,0.03161882481072098,0.006094872643808884,0.3152316918130964,0.035984659084422034,0.15263852119096555,0.11960052501243064,0.6478674691170454,0.022913784356672597,21.911920130252838,1.8408325082543884,3.5859432481229305,0.49469672830061134,0.02689427649602294,0.00044325944082006507,672.4038181304932,115.45962172360099,0.6862080506980419,0.04235968860083912,0.12894397939089686,0.012500078673956203,1.0,0.0,0.0,0.0,
reference,1,payload_5kg,64,3578,49.9,229.2594734430313,31.408769651788894,3573.171875,38.625,0.06866582497605123,0.11332112971502341,0.07820875538163818,0.012626262117865123,0.2517877940554172,0.0424242554288673,0.34307274894490547,0.24714587893718018,1.083636112511158,0.11635623372891468,23.641095876693726,1.3120461662902643,2.2741001583635807,0.4864716976109195,0.04256072918360587,0.006242886436613499,708.303512096405,205.0176902124673,0.8803714523091912,0.026743359254039645,0.11169541603885591,0.009664924431142686,1.0,0.0,0.0,0.0,
reference,1,payload_10kg,64,3578,53.0,17.2020336270798,20.062255853795094,3552.859375,157.9428133587175,0.8232075094711035,0.13650293876867467,0.052209444089385215,0.02929333157489572,0.12113973912073561,0.08784729738925738,0.8082160079502501,0.27722320584599097,0.5423789380583912,0.32060939607549466,25.05092164874077,1.7938034241637724,2.195170408114791,0.5697571328136661,0.018114100639650133,0.0099513515325591,620.1877422332764,694.3244402958525,0.9694688823074102,0.03403174126464111,0.11272770387586206,0.02764465648716286,1.0,0.0,0.0,0.0,
reference,1,payload_15kg,69,3578,52.3,-1.1973212875317836,28.385430632048426,3017.521739130435,1195.8454504793772,0.9751817851826765,0.021899278626456124,0.048974304540973644,0.058152164026734676,0.12533328533965582,0.1176622909636056,0.6941332301851261,0.4288529204243499,0.38525765583566995,0.3643344786986091,24.210872705431953,2.026199442236128,2.8118659758913345,1.0657502244309796,0.01743137993026471,0.01711683947640742,504.49835525733835,633.9249890089736,0.9579481948976931,0.03660233403576755,0.1428245370802672,0.04814454845500291,1.0,0.0,0.0,0.0,
reference,1,push_x_3,64,1547,20.8,35.04576145426836,20.736348759213584,732.15625,343.902727976275,0.32023355492856354,0.2174872134528108,0.23450599645730108,0.08651982875182329,0.3204430884215981,0.10302653611858319,0.2558735305647133,0.3278036296366887,0.8955300031229854,0.10133067271223863,33.3084796667099,6.836538702176497,5.867014179006219,1.9167734204162248,0.029726412059972063,0.005259660020823403,1062.1646709442139,170.65349749728267,1.0164959747344255,0.14065940460485377,0.21527468669228256,0.038794233720823704,1.0,0.0,0.0,0.0,
reference,1,push_x_5,64,795,10.8,19.63269093632698,11.16822442001297,464.265625,156.4859385322954,0.35401090688537806,0.22870652568834596,0.23078022606205195,0.14541263590103937,0.3146870043128729,0.10674843727697925,0.30132163857342675,0.3713654645616769,0.9749819813296199,0.15454374963481649,37.718421280384064,10.03694306647804,7.278639607131481,2.6881768924410396,0.034754950320348144,0.011116555131535305,1139.330231666565,222.84434266275213,1.0204786509275436,0.19825649323999808,0.2193266563117504,0.052497132608213766,1.0,0.0,0.0,0.0,
reference,2,nominal,64,4257,56.4,284.39101207256317,36.09157101861542,3521.078125,372.68588862121,0.03151462832465768,0.03131587109459939,0.041847997781587765,0.010647436132325976,0.321004431694746,0.034138866368563996,0.12234051820996683,0.11925956391982513,0.6778585640713573,0.03993292902952073,22.325506657361984,1.9899778551694844,4.373548254370689,0.5210197355758939,0.03842953097773716,0.0007941739328237097,840.688099861145,110.06481105339647,0.7092835288494825,0.06926139064211492,0.1598955256631598,0.012954282410247736,1.0,0.0,0.0,0.0,
reference,2,payload_5kg,65,3578,51.9,203.41265454567394,52.063412933921796,3425.0,637.6171460994442,0.10238839554098936,0.1293983407391048,0.08478079535640203,0.024559831580623796,0.25734070654098806,0.04694480523415582,0.33220720669756143,0.2333269852288614,1.432919468329503,0.140889505888883,25.356564947275015,1.7269564049114845,3.1965850261541515,0.5084030846043424,0.07802397399567641,0.01105551532461459,722.4563208946815,161.16720888471923,1.008124897113213,0.03268400812471494,0.15874589131428646,0.015410237798385377,1.0,0.0,0.0,0.0,
reference,2,payload_10kg,82,3578,54.9,8.552867552129234,26.64237849623574,2316.9756097560976,1273.3069996851327,0.616949918430026,0.17398346368694206,0.13111777967069208,0.060110165644675466,0.19723621819440912,0.09483794994205706,0.5497410362728349,0.40061042014816844,1.168843424810869,0.3689660456568826,26.74734036515399,1.7174679297761708,3.0476097450023745,0.4724044489207739,0.04826336978116959,0.017395022201438893,746.9447945385444,214.05371026980615,1.0660467991014806,0.03447152477935961,0.14528857762130296,0.023995832173981917,1.0,0.0,0.0,0.0,
reference,2,payload_15kg,64,3247,50.3,-9.209068566560745,5.570407961822304,580.109375,506.59063079798625,0.9270047945901752,0.06100436550701339,0.17011040105717257,0.06236938877129922,0.2445012275420595,0.11082726615803043,0.2498779324523639,0.421965635234479,0.8692466290667653,0.16266454410890546,24.852834671735764,2.0356691253685386,3.033642092719674,0.6394107658711949,0.03549238052801229,0.00818185127874805,664.7345018386841,143.78336000161738,0.9931748118251562,0.07093078579952256,0.15720744035206735,0.027854384511847494,1.0,0.0,0.0,0.0,
